Name,Position,Price,Points,Decision
Robert Lewandowski,ST,18.0,239,1.0
Serge Gnabry,ST,17.0,147,0.0
Erling Haaland,ST,17.0,97,0.0
Jadon Sancho,MI,17.0,188,1.0
Joshua Kimmich,MI,16.0,99,0.0
Thomas Muller,ST,16.0,157,0.0
Marco Reus,ST,16.0,106,0.0
Benjamin Pavard,VT,15.0,132,1.0
Filip Kostic,MI,15.0,115,0.0
Alassane Plea,ST,15.0,128,0.0
Alphonso Davies,VT,15.0,80,0.0
Andrej Kramaric,ST,14.0,96,0.0
Dani Olmo,MI,14.0,41,0.0
Andre Silva,ST,14.0,108,0.0
Christopher Nkunku,MI,14.0,115,0.0
Wout Weghorst,ST,14.0,144,0.0
Leon Goretzka,MI,14.0,84,0.0
Julian Brandt,MI,14.0,94,0.0
Thorgan Hazard,MI,14.0,132,1.0
Patrik Schick,ST,14.0,90,0.0
Marcus Thuram,ST,14.0,130,0.0
Marcel Sabitzer,MI,14.0,124,1.0
Raphael Guerreiro,VT,14.0,121,1.0
Angelino,VT,13.0,48,0.0
Manuel Neuer,TW,13.0,118,1.0
Mats Hummels,VT,13.0,93,0.0
Axel Witsel,MI,13.0,84,0.0
Marcel Halstenberg,VT,13.0,101,0.0
Maximilian Arnold,MI,13.0,101,0.0
David Alaba,VT,13.0,106,0.0
Kingsley Coman,ST,13.0,68,0.0
Milot Rashica,MI,13.0,106,0.0
Matheus Cunha,ST,12.0,57,0.0
Lukas Klostermann,VT,12.0,109,1.0
Niklas Sule,VT,12.0,22,0.0
Jonas Hofmann,MI,12.0,73,0.0
Kerem Demirbay,MI,12.0,60,0.0
Lars Stindl,MI,12.0,89,0.0
Moussa Diaby,ST,12.0,83,0.0
Florian Neuhaus,MI,12.0,76,0.0
Yann Sommer,TW,12.0,88,0.0
Ramy Bensebaini,VT,12.0,67,0.0
Yussuf Poulsen,ST,11.0,75,0.0
Emil Forsberg,ST,11.0,66,0.0
Lucas Hernandez,VT,11.0,44,0.0
Vincenzo Grifo,MI,11.0,84,0.0
Roman Burki,TW,11.0,90,0.0
Dodi Lukebakio,ST,11.0,105,0.0
Martin Hinteregger,VT,11.0,84,0.0
Bas Dost,ST,11.0,84,0.0
Dayot Upamecano,VT,11.0,70,0.0
Daichi Kamada,MI,11.0,67,0.0
Kevin Kampl,MI,11.0,34,0.0
Suat Serdar,MI,11.0,72,0.0
Nadiem Amiri,MI,11.0,60,0.0
Jhon Cordoba,ST,11.0,118,0.0
Krzysztof Piatek,ST,11.0,45,0.0
Niclas Fullkrug,ST,11.0,34,0.0
Willi Orban,VT,11.0,32,0.0
Ibrahima Konate,VT,11.0,21,0.0
Peter Gulacsi,TW,11.0,99,0.0
Kevin Mbabu,VT,11.0,46,0.0
Christian Gunter,VT,11.0,108,1.0
Javi Martinez,VT,11.0,27,0.0
Mark Uth,ST,11.0,72,0.0
Amine Harit,MI,11.0,88,0.0
Emre Can,MI,11.0,27,0.0
Charles Aranguiz,MI,11.0,62,0.0
Leon Bailey,ST,11.0,62,0.0
Pavel Kaderabek,VT,11.0,84,0.0
Robert Skov,ST,11.0,97,0.0
Breel Embolo,ST,11.0,94,0.0
Denis Zakaria,MI,11.0,54,0.0
Jonas Hector,MI,11.0,59,0.0
Vladimir Darida,MI,10.0,71,0.0
Nils Petersen,ST,10.0,118,0.0
Sebastian Andersson,ST,10.0,120,0.0
Sven Bender,VT,10.0,76,0.0
Alexander Schwolow,TW,10.0,51,0.0
Jerome Roussillon,VT,10.0,63,0.0
Jerome Boateng,VT,10.0,70,0.0
Oliver Baumann,TW,10.0,71,0.0
Nordi Mukiele,VT,10.0,82,0.0
Jonathan Schmid,MI,10.0,94,0.0
Corentin Tolisso,MI,10.0,31,0.0
Florian Niederlechner,ST,10.0,141,0.0
Goncalo Paciencia,ST,10.0,78,0.0
Benito Raman,ST,10.0,71,0.0
Lucas Alario,ST,10.0,67,0.0
Robin Quaison,ST,10.0,132,0.0
Christoph Baumgartner,MI,10.0,81,0.0
Davy Klaassen,MI,10.0,102,1.0
Renato Steffen,MI,10.0,79,0.0
Xaver Schlager,MI,10.0,51,0.0
Florian Kainz,MI,10.0,82,0.0
Salif Sane,VT,10.0,37,0.0
Dan-Axel Zagadou,VT,10.0,48,0.0
Karim Bellarabi,ST,10.0,79,0.0
Marvin Plattenhardt,VT,10.0,48,0.0
Christopher Trimmel,VT,10.0,84,0.0
Nico Elvedi,VT,10.0,78,0.0
Stefan Lainer,VT,10.0,72,0.0
Matthias Ginter,VT,10.0,85,0.0
Bastian Oczipka,VT,10.0,75,0.0
Ozan Kabak,VT,10.0,53,0.0
Michael Gregoritsch,ST,9.0,40,0.0
Christopher Lenz,VT,9.0,58,0.0
Josip Brekalo,MI,9.0,76,0.0
Ruben Vargas,MI,9.0,87,0.0
Lars Bender,VT,9.0,44,0.0
Ludwig Augustinsson,VT,9.0,6,0.0
Koen Casteels,TW,9.0,54,0.0
Daniel Caligiuri,MI,9.0,65,0.0
Daniel Brosinski,VT,9.0,58,0.0
Kevin Trapp,TW,9.0,39,0.0
Thomas Delaney,MI,9.0,15,0.0
Lukas Hradecky,TW,9.0,87,0.0
Wendell,VT,9.0,56,0.0
Jean-Paul Boetius,MI,9.0,84,0.0
